,index,district_id,perc_point,date,indicator_id,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
126,21,NL5xiiHZQSC,60.192354157528314,202503,indicator_2,Jalaun,165,Jhansi Division,165,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
127,19,Mq751wBMqGF,60.916669409828515,202503,indicator_2,Jhansi,166,Jhansi Division,165,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
128,46,fagfcadhxej,60.102395362728004,202503,indicator_2,Lalitpur,167,Jhansi Division,165,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
129,2,Bd6E8zkVvVt,71.78119301128089,202503,indicator_2,Auraiya,162,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
130,26,Pm0jLk6EAiE,74.17412866559138,202503,indicator_2,Etawah,161,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
131,68,uEEwlAGZXWW,60.57789434931611,202503,indicator_2,Farrukhabad,159,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
132,11,IhQbDYRiF8w,78.7726384859133,202503,indicator_2,Kannauj,160,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
133,57,k3D0AumUCiC,63.237919439578924,202503,indicator_2,Kanpur Dehat,163,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
134,27,QVMRMhzVrrS,58.02899641849915,202503,indicator_2,Kanpur Nagar,164,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
135,25,PeUY1vj02UQ,81.87721950099726,202503,indicator_2,Bhadohi,198,Mirzapur Division,200,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
136,30,UAicdMLyuk4,88.19334388823887,202503,indicator_2,Mirzapur,199,Mirzapur Division,200,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
137,22,NNk3JP90QZ5,71.01714666948007,202503,indicator_2,Sonbhadra,200,Mirzapur Division,200,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
138,52,hgquAmZaNBu,76.24183111743547,202503,indicator_2,Amroha,137,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
139,67,uCYjHW7FuGG,74.74767981474167,202503,indicator_2,Bijnor,134,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
140,34,YQNQoPjAIpV,60.29975242514659,202503,indicator_2,Moradabad,135,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
141,10,IU006h5U7jj,67.32333528204359,202503,indicator_2,Rampur,136,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
142,35,YzHpzrN0eLv,74.5411420461343,202503,indicator_2,Sambhal,205,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
143,17,MVQs2RrS1Nw,79.11784941641181,202503,indicator_2,Muzaffarnagar,133,Saharanpur Division,132,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
144,7,FKYZ3JbWq84,63.4800513209532,202503,indicator_2,Saharanpur,132,Saharanpur Division,132,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
145,1,AdiUcz9BXhx,70.50700823065237,202503,indicator_2,Shamli,203,Saharanpur Division,132,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
146,5,ClbehnmwSec,78.61136091653002,202503,indicator_2,Chandauli,196,Varanasi Division,195,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
