,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6645,FJZd1VoPnSp,202503,indicator_4,25.157232704402517,GaiLSoQq1ue,Shahjahanpur,Powayan,26,212.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6646,Gj3mY1laAQs,202503,indicator_4,0.0,GaiLSoQq1ue,Shahjahanpur,Mirzapur,27,223.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6647,ROeKhlePe7w,202503,indicator_4,7.751937984496124,GaiLSoQq1ue,Shahjahanpur,Khutar,21,211.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6648,RWbJEn9kMN0,202503,indicator_4,0.0,GaiLSoQq1ue,Shahjahanpur,Sindhauli,34,213.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6649,Siyf9v1S9St,202503,indicator_4,13.698630136986301,GaiLSoQq1ue,Shahjahanpur,Madnapur,26,216.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6650,Y5b8fuW0nqo,202503,indicator_4,9.75609756097561,GaiLSoQq1ue,Shahjahanpur,Katra (Khudaganj),30,214.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6651,eRgWsRn98MG,202503,indicator_4,0.0,GaiLSoQq1ue,Shahjahanpur,Kanth,24,219.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6652,gGoFUoVcUmI,202503,indicator_4,3.4602076124567476,GaiLSoQq1ue,Shahjahanpur,Kalan,29,222.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6653,jc5MqfKVzRH,202503,indicator_4,23.809523809523807,GaiLSoQq1ue,Shahjahanpur,Shahjahanpur (Urban),78,,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6654,l14UZLO07Q9,202503,indicator_4,6.024096385542169,GaiLSoQq1ue,Shahjahanpur,Jaitipur,26,215.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6655,o9TtE34iDMB,202503,indicator_4,19.543973941368076,GaiLSoQq1ue,Shahjahanpur,Tilhar,27,217.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6656,oSPqI1SUnmV,202503,indicator_4,3.6231884057971016,GaiLSoQq1ue,Shahjahanpur,Nigohi,30,218.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6657,tjhsboDAHva,202503,indicator_4,0.0,GaiLSoQq1ue,Shahjahanpur,Banda,34,210.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6658,CNdl7yi4n8S,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Chirgaon,46,383.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6659,W9mkfkYcPh8,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Bangra,48,386.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6660,cmHMhMayFWq,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Mauranipur,50,387.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6661,cvjZcBpUtSR,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Moth,55,382.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6662,h9b0ymhftGb,202503,indicator_4,13.698630136986301,Mq751wBMqGF,Jhansi,Gursarai,51,385.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
