,block,composite_index,rank,month,district
3209,Kashi Vidya Peeth,0.817678,41.0,Sep 2023,Varanasi
3217,Sarsol,0.735518,461.0,Sep 2023,Kanpur Nagar
3219,Babaganj,0.630788,791.0,Sep 2023,Pratapgarh
3223,Murli Chhapra,0.784541,172.0,Sep 2023,Ballia
3230,Sirsiya,0.795473,114.0,Sep 2023,Shrawasti
3235,Loni,0.564386,844.0,Sep 2023,Ghaziabad
3251,Usawan,0.826281,16.0,Sep 2023,Budaun
3276,Kurwar,0.712675,563.0,Sep 2023,Sultanpur
3278,Karaundi Kala,0.682384,673.0,Sep 2023,Sultanpur
3305,Revatipur,0.690352,639.0,Sep 2023,Ghazipur
3312,Sadabad,0.774919,227.0,Sep 2023,Hathras
3320,Gonda (Urban),0.671068,701.0,Sep 2023,Gonda
3338,Niyamatabad,0.778934,208.0,Sep 2023,Chandauli
3339,Chahniya,0.734761,465.0,Sep 2023,Chandauli
3342,Barhaj,0.668173,714.0,Sep 2023,Deoria
3350,Tarkulwa,0.665478,721.0,Sep 2023,Deoria
3362,Dilari,0.761785,315.0,Sep 2023,Moradabad
3382,Mogra Badshahpur,0.742963,423.0,Sep 2023,Jaunpur
3392,Chhata,0.648084,762.0,Sep 2023,Mathura
3403,Agoto,0.674986,691.0,Sep 2023,Bulandshahar
3413,Sikandarpur Karan,0.795674,113.0,Sep 2023,Unnav
3416,Nawabganj,0.74026,436.0,Sep 2023,Unnav
3430,Mirzapur (Urban),0.49108,875.0,Sep 2023,Mirzapur
3474,Firozabad,0.740413,434.0,Sep 2023,Firozabad
3476,Madanpur,0.669897,707.0,Sep 2023,Firozabad
3494,Chitaura,0.614875,805.0,Sep 2023,Bahraich
3506,Kaudhiyara,0.756729,341.0,Sep 2023,Prayagraj
3530,Badagaon,0.770025,255.0,Sep 2023,Jhansi
3537,Bah,0.807034,68.0,Sep 2023,Agra
3554,Muratganj,0.78125,186.0,Sep 2023,Kaushambi
3563,Sonbhadra (Urban),0.584579,833.0,Sep 2023,Sonbhadra
3569,Malwan,0.759004,334.0,Sep 2023,Fatehpur
3608,Gondlamau,0.682445,672.0,Sep 2023,Sitapur
3609,Pahala,0.549079,853.0,Sep 2023,Sitapur
3619,Basrehar,0.772209,242.0,Sep 2023,Etawah
3628,Sandi,0.762949,309.0,Sep 2023,Hardoi
3636,Bharkhani,0.743039,422.0,Sep 2023,Hardoi
3642,Kachhauna,0.808081,65.0,Sep 2023,Hardoi
3644,Kothwan,0.787639,146.0,Sep 2023,Hardoi
3657,Mahuva,0.724659,521.0,Sep 2023,Banda
3659,Panwari,0.802855,85.0,Sep 2023,Mahoba
3663,Chaubepur,0.780732,194.0,Sep 2023,Kanpur Nagar
3682,Gaura,0.696909,624.0,Sep 2023,Pratapgarh
