block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Khsrha,RtFh5dTx40I,p,2018-07-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,64.55893832943013,2,ANC,2019
Khsrha,RtFh5dTx40I,p,2018-10-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,64.09185803757829,3,ANC,2019
Khsrha,RtFh5dTx40I,p,2019-01-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,62.85714285714285,4,ANC,2019
Khsrha,RtFh5dTx40I,p,2019-04-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,52.29257641921397,1,ANC,2020
Khsrha,RtFh5dTx40I,p,2019-07-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,63.678756476683944,2,ANC,2020
Khsrha,RtFh5dTx40I,p,2019-10-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,68.41094575132021,3,ANC,2020
Kanpur Dehat Melasa,QavHaYYE31I,p,2017-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,38.08801213960547,3,ANC,2018
Kanpur Dehat Melasa,QavHaYYE31I,p,2018-01-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,44.849246231155774,4,ANC,2018
Kanpur Dehat Melasa,QavHaYYE31I,p,2018-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,50.39164490861618,1,ANC,2019
Kanpur Dehat Melasa,QavHaYYE31I,p,2018-07-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,56.21468926553672,2,ANC,2019
Kanpur Dehat Melasa,QavHaYYE31I,p,2018-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,54.481132075471685,3,ANC,2019
Kanpur Dehat Melasa,QavHaYYE31I,p,2019-01-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,54.906054279749476,4,ANC,2019
Kanpur Dehat Melasa,QavHaYYE31I,p,2019-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,52.781065088757394,1,ANC,2020
Kanpur Dehat Melasa,QavHaYYE31I,p,2019-07-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,63.00813008130082,2,ANC,2020
Kanpur Dehat Melasa,QavHaYYE31I,p,2019-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,63.82252559726962,3,ANC,2020
Gangeshwari,bkkdTIrC9mc,p,2017-10-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,40.59153493115758,3,ANC,2018
Gangeshwari,bkkdTIrC9mc,p,2018-01-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,29.411764705882355,4,ANC,2018
Gangeshwari,bkkdTIrC9mc,p,2018-04-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,28.94973070017953,1,ANC,2019
Gangeshwari,bkkdTIrC9mc,p,2018-07-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,44.78260869565218,2,ANC,2019
Gangeshwari,bkkdTIrC9mc,p,2018-10-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,52.38095238095239,3,ANC,2019
Gangeshwari,bkkdTIrC9mc,p,2019-01-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,41.52401987852015,4,ANC,2019
Gangeshwari,bkkdTIrC9mc,p,2019-04-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,41.07388710417622,1,ANC,2020
Gangeshwari,bkkdTIrC9mc,p,2019-07-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,43.00176056338028,2,ANC,2020
Gangeshwari,bkkdTIrC9mc,p,2019-10-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,54.00828001505458,3,ANC,2020
Joya,ouPBHlLzBAu,p,2017-10-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,54.50121654501216,3,ANC,2018
Joya,ouPBHlLzBAu,p,2018-01-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,55.70934256055364,4,ANC,2018
Joya,ouPBHlLzBAu,p,2018-04-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,57.107107107107105,1,ANC,2019
Joya,ouPBHlLzBAu,p,2018-07-01,Amroha,hgquAmZaNBu,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,54.44015444015446,2,ANC,2019
