block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Kemasin,FhvPjqLG12y,p,2023-09-01,Banda,DggJGxqbWHn,,JSY,% JSY Incentive,36,0.9067357512953368,2.0,JSY,2024,15,47
Shargarh,FjccMEGL0Hr,p,2023-09-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.3843537414965986,2.0,JSY,2024,148,56
Unnav Sumerpur,Fy5oqtT0JAR,p,2023-09-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,671,7
Niyamtabad,FyHWyWYiq51,p,2023-09-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.5215827338129496,2.0,JSY,2024,552,61
Ballia Bansdih,G4HRu37srJN,p,2023-09-01,Ballia,oNDvGBE5fLq,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,80,5
Dalelnagar,G7D5lGOMxxz,p,2023-09-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.25136612021857924,2.0,JSY,2024,245,56
Balrampur DHQ,G7snWO0Hmy7,p,2023-09-01,Balrampur,uS0pNSxN3sS,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,253,72
Jalaun Madhougarh,GGmtoqpI9Je,p,2023-09-01,Jalaun,NL5xiiHZQSC,,JSY,% JSY Incentive,36,0.8695652173913043,2.0,JSY,2024,180,4
Bilsanda,GHjV9QTEXyn,p,2023-09-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,566,29
Shrawasti DHQ,GK26msJSJoZ,p,2023-09-01,Shrawasti,oyTwneTbWDx,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,391,18
Shivgarh Pratapgarh,GMBAMYjK1nv,p,2023-09-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.7134831460674157,2.0,JSY,2024,588,3
Khekra,Ga0Whh9BsGr,p,2023-09-01,Bagpat,HJIS3IrQ0Nj,,JSY,% JSY Incentive,36,0.33480176211453744,2.0,JSY,2024,243,66
Myoerpur,Gbo5ncDmsIv,p,2023-09-01,Sonbhadra,NNk3JP90QZ5,,JSY,% JSY Incentive,36,0.8262626262626263,2.0,JSY,2024,573,74
Firozabad Narkhi,GcLGdTGiU8M,p,2023-09-01,Firozabad,eJTsuE56XDF,,JSY,% JSY Incentive,36,0.660377358490566,2.0,JSY,2024,794,27
Mainpuri Ghiror,GdimZzDSdCV,p,2023-09-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,29,43
Kabari,GfFQEUX1ZYy,p,2023-09-01,Mahoba,sUQMxIc3yXj,,JSY,% JSY Incentive,36,0.6306695464362851,2.0,JSY,2024,846,42
Mishirikh,Gfmfuy8CQrI,p,2023-09-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,901,60
Mirzapur Shahjahanpur,Gj3mY1laAQs,p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,739,28
Khlilabad,Go3zUv1lOWw,p,2023-09-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.19120458891013384,2.0,JSY,2024,146,11
Rae Bareli Salon,Gr3MErPlauk,p,2023-09-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,1.021447721179625,2.0,JSY,2024,115,59
Soraon,Gs9FnVq3FME,p,2023-09-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,368,34
Pandari Kripal,GtDp6Qz9pSx,p,2023-09-01,Gonda,y8WarEkWCul,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,493,2
Rae Bareli Sarani,H1W08wOkXWC,p,2023-09-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,609,59
Heryasethghrwa,H1Z5zG9mjfG,p,2023-09-01,Balrampur,uS0pNSxN3sS,,JSY,% JSY Incentive,36,0.5379008746355685,2.0,JSY,2024,354,72
Gautam Buddha Nagar DHQ,H3RUhD0AAjW,p,2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,,JSY,% JSY Incentive,36,0.07246376811594203,2.0,JSY,2024,796,35
Skiit,H5UJopTvZPy,p,2023-09-01,Etah,ZLcx4iOVyN5,,JSY,% JSY Incentive,36,0.7243589743589743,2.0,JSY,2024,267,21
Etawah DHQ,H82DYZCKRwR,p,2023-09-01,Etawah,Pm0jLk6EAiE,,JSY,% JSY Incentive,36,0.2964601769911505,2.0,JSY,2024,46,62
Fatehpur DHQ,HHTQ2caXrBL,p,2023-09-01,Fatehpur,ibLiLcaKzw2,,JSY,% JSY Incentive,36,0.6214057507987221,2.0,JSY,2024,625,16
Akaberpur,HHlxYUknESU,p,2023-09-01,Ambedkar Nagar,jM27ji8tyrM,,JSY,% JSY Incentive,36,0.6619718309859155,2.0,JSY,2024,347,8
Usawan,HJ6IPhQigva,p,2023-09-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,695,58
Suratganj,HLaiapcp8KF,p,2023-09-01,Barabanki,tzH6nJu9SwS,,JSY,% JSY Incentive,36,0.4859611231101512,2.0,JSY,2024,691,41
Mainpuri Kerhal,HNZwOODMyul,p,2023-09-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,1.0,2.0,JSY,2024,598,43
Badlapur,HU9Fxw66kJA,p,2023-09-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,0.9818181818181818,2.0,JSY,2024,227,54
Gondlamau,HWAP9AgN3Ym,p,2023-09-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.6490566037735849,2.0,JSY,2024,542,60
Ghaziabad DHQ,HYVom1xMtdc,p,2023-09-01,Ghaziabad,M5NHlfAaKYI,,JSY,% JSY Incentive,36,0.1095890410958904,2.0,JSY,2024,725,39
Bhamora,HZQTgHfOykd,p,2023-09-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,639,56
C S M Nagar Bazar Shukul,HZYH9FeKSbz,p,2023-09-01,Amethi,StsLkYw1G0m,,JSY,% JSY Incentive,36,0.9047619047619048,2.0,JSY,2024,697,75
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2023-09-01,Kanpur Dehat,k3D0AumUCiC,,JSY,% JSY Incentive,36,0.7923497267759563,2.0,JSY,2024,431,57
Faridpur,Hi4F69xrBS5,p,2023-09-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,565,56
