date,district,district_id,subindicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id
2023-09-01,Agra,N5WWbRtsjWp,dwGorjVGkD9,19.7,2,2024,35a,p,Agra Division,146,146,indicator_35
2023-09-01,Agra,N5WWbRtsjWp,m7ggqyMXhyL,88.2,2,2024,37a,p,Agra Division,146,146,indicator_37
2023-09-01,Agra,N5WWbRtsjWp,indicator_2a,5893.0,2,2024,2a,p,Agra Division,146,146,indicator_2
2023-09-01,Agra,N5WWbRtsjWp,GJKYhq2wR9L,8635.0,2,2024,7a,p,Agra Division,146,146,indicator_7
2023-09-01,Agra,N5WWbRtsjWp,B2A7x36qEry.Ti9FJqkSK6J,17566.0,2,2024,10a,p,Agra Division,146,146,indicator_10
2023-09-01,Agra,N5WWbRtsjWp,GXgfTS67qxe.Ti9FJqkSK6J,1917.0,2,2024,10b,p,Agra Division,146,146,indicator_10
2023-09-01,Moradabad,YQNQoPjAIpV,ixBYYYjxXPP,1180.0,2,2024,36a,p,Moradabad Division,134,135,indicator_36
2023-09-01,Moradabad,YQNQoPjAIpV,aRueVYr35yM.Ti9FJqkSK6J,4347.0,2,2024,36b,p,Moradabad Division,134,135,indicator_36
2023-09-01,Moradabad,YQNQoPjAIpV,dwGorjVGkD9,24.2,2,2024,35a,p,Moradabad Division,134,135,indicator_35
2023-09-01,Moradabad,YQNQoPjAIpV,m7ggqyMXhyL,89.6,2,2024,37a,p,Moradabad Division,134,135,indicator_37
2023-09-01,Moradabad,YQNQoPjAIpV,indicator_2a,1743.0,2,2024,2a,p,Moradabad Division,134,135,indicator_2
2023-09-01,Moradabad,YQNQoPjAIpV,GJKYhq2wR9L,8174.0,2,2024,7a,p,Moradabad Division,134,135,indicator_7
2023-09-01,Moradabad,YQNQoPjAIpV,B2A7x36qEry.Ti9FJqkSK6J,10262.0,2,2024,10a,p,Moradabad Division,134,135,indicator_10
2023-09-01,Moradabad,YQNQoPjAIpV,GXgfTS67qxe.Ti9FJqkSK6J,1042.0,2,2024,10b,p,Moradabad Division,134,135,indicator_10
2023-09-01,Ghaziabad,M5NHlfAaKYI,ixBYYYjxXPP,1610.0,2,2024,36a,p,Meerut Division,140,140,indicator_36
2023-09-01,Ghaziabad,M5NHlfAaKYI,aRueVYr35yM.Ti9FJqkSK6J,6802.0,2,2024,36b,p,Meerut Division,140,140,indicator_36
2023-09-01,Ghaziabad,M5NHlfAaKYI,dwGorjVGkD9,20.8,2,2024,35a,p,Meerut Division,140,140,indicator_35
2023-09-01,Ghaziabad,M5NHlfAaKYI,m7ggqyMXhyL,92.0,2,2024,37a,p,Meerut Division,140,140,indicator_37
2023-09-01,Ghaziabad,M5NHlfAaKYI,indicator_2a,1819.0,2,2024,2a,p,Meerut Division,140,140,indicator_2
2023-09-01,Ghaziabad,M5NHlfAaKYI,GJKYhq2wR9L,9913.0,2,2024,7a,p,Meerut Division,140,140,indicator_7
2023-09-01,Ghaziabad,M5NHlfAaKYI,B2A7x36qEry.Ti9FJqkSK6J,11629.0,2,2024,10a,p,Meerut Division,140,140,indicator_10
2023-09-01,Ghaziabad,M5NHlfAaKYI,GXgfTS67qxe.Ti9FJqkSK6J,1308.0,2,2024,10b,p,Meerut Division,140,140,indicator_10
2023-09-01,Varanasi,LeuBT7KfuuA,ixBYYYjxXPP,857.0,2,2024,36a,p,Varanasi Division,195,197,indicator_36
2023-09-01,Varanasi,LeuBT7KfuuA,aRueVYr35yM.Ti9FJqkSK6J,4733.0,2,2024,36b,p,Varanasi Division,195,197,indicator_36
2023-09-01,Varanasi,LeuBT7KfuuA,dwGorjVGkD9,20.5,2,2024,35a,p,Varanasi Division,195,197,indicator_35
2023-09-01,Varanasi,LeuBT7KfuuA,m7ggqyMXhyL,91.1,2,2024,37a,p,Varanasi Division,195,197,indicator_37
2023-09-01,Varanasi,LeuBT7KfuuA,indicator_2a,4493.0,2,2024,2a,p,Varanasi Division,195,197,indicator_2
2023-09-01,Varanasi,LeuBT7KfuuA,GJKYhq2wR9L,7456.0,2,2024,7a,p,Varanasi Division,195,197,indicator_7
2023-09-01,Varanasi,LeuBT7KfuuA,B2A7x36qEry.Ti9FJqkSK6J,11635.0,2,2024,10a,p,Varanasi Division,195,197,indicator_10
2023-09-01,Varanasi,LeuBT7KfuuA,GXgfTS67qxe.Ti9FJqkSK6J,1333.0,2,2024,10b,p,Varanasi Division,195,197,indicator_10
2023-09-01,Etah,ZLcx4iOVyN5,ixBYYYjxXPP,1635.0,2,2024,36a,p,Alligarh Division,201,201,indicator_36
2023-09-01,Etah,ZLcx4iOVyN5,aRueVYr35yM.Ti9FJqkSK6J,3416.0,2,2024,36b,p,Alligarh Division,201,201,indicator_36
2023-09-01,Etah,ZLcx4iOVyN5,dwGorjVGkD9,28.7,2,2024,35a,p,Alligarh Division,201,201,indicator_35
2023-09-01,Etah,ZLcx4iOVyN5,m7ggqyMXhyL,92.4,2,2024,37a,p,Alligarh Division,201,201,indicator_37
2023-09-01,Etah,ZLcx4iOVyN5,indicator_2a,2387.0,2,2024,2a,p,Alligarh Division,201,201,indicator_2
2023-09-01,Etah,ZLcx4iOVyN5,GJKYhq2wR9L,4716.0,2,2024,7a,p,Alligarh Division,201,201,indicator_7
2023-09-01,Etah,ZLcx4iOVyN5,B2A7x36qEry.Ti9FJqkSK6J,4396.0,2,2024,10a,p,Alligarh Division,201,201,indicator_10
2023-09-01,Etah,ZLcx4iOVyN5,GXgfTS67qxe.Ti9FJqkSK6J,483.0,2,2024,10b,p,Alligarh Division,201,201,indicator_10
2023-09-01,Hathras,m1IAjmqkoFC,ixBYYYjxXPP,1601.0,2,2024,36a,p,Alligarh Division,201,144,indicator_36
2023-09-01,Hathras,m1IAjmqkoFC,aRueVYr35yM.Ti9FJqkSK6J,3613.0,2,2024,36b,p,Alligarh Division,201,144,indicator_36
2023-09-01,Hathras,m1IAjmqkoFC,dwGorjVGkD9,28.7,2,2024,35a,p,Alligarh Division,201,144,indicator_35
2023-09-01,Hathras,m1IAjmqkoFC,m7ggqyMXhyL,90.7,2,2024,37a,p,Alligarh Division,201,144,indicator_37
2023-09-01,Hathras,m1IAjmqkoFC,indicator_2a,2440.0,2,2024,2a,p,Alligarh Division,201,144,indicator_2
2023-09-01,Hathras,m1IAjmqkoFC,GJKYhq2wR9L,4336.0,2,2024,7a,p,Alligarh Division,201,144,indicator_7
2023-09-01,Hathras,m1IAjmqkoFC,B2A7x36qEry.Ti9FJqkSK6J,2594.0,2,2024,10a,p,Alligarh Division,201,144,indicator_10
2023-09-01,Hathras,m1IAjmqkoFC,GXgfTS67qxe.Ti9FJqkSK6J,292.0,2,2024,10b,p,Alligarh Division,201,144,indicator_10
2023-09-01,Azamgarh,NjckKfm3g0k,ixBYYYjxXPP,2041.0,2,2024,36a,p,Azamgarh Division,193,191,indicator_36
2023-09-01,Azamgarh,NjckKfm3g0k,aRueVYr35yM.Ti9FJqkSK6J,6492.0,2,2024,36b,p,Azamgarh Division,193,191,indicator_36
2023-09-01,Azamgarh,NjckKfm3g0k,dwGorjVGkD9,20.3,2,2024,35a,p,Azamgarh Division,193,191,indicator_35
2023-09-01,Azamgarh,NjckKfm3g0k,m7ggqyMXhyL,84.4,2,2024,37a,p,Azamgarh Division,193,191,indicator_37
2023-09-01,Azamgarh,NjckKfm3g0k,indicator_2a,4047.0,2,2024,2a,p,Azamgarh Division,193,191,indicator_2
2023-09-01,Azamgarh,NjckKfm3g0k,GJKYhq2wR9L,10485.0,2,2024,7a,p,Azamgarh Division,193,191,indicator_7
2023-09-01,Azamgarh,NjckKfm3g0k,B2A7x36qEry.Ti9FJqkSK6J,6518.0,2,2024,10a,p,Azamgarh Division,193,191,indicator_10
2023-09-01,Azamgarh,NjckKfm3g0k,GXgfTS67qxe.Ti9FJqkSK6J,733.0,2,2024,10b,p,Azamgarh Division,193,191,indicator_10
2023-09-01,Bareilly,vVqY3DPcpHf,ixBYYYjxXPP,1823.0,2,2024,36a,p,Bareilly Division,150,150,indicator_36
