block_id,perc_point,indicator_id,district_id,district,block,division,type,domain,indicator,calc_type,year,quarter,date
KEc8Ha9MyTJ,,indicator_5,XxaOowFtkiJ,Sitapur,Maholi,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
OHdFJxcZU3t,,indicator_5,cP0p8qfm3il,Siddharth Nagar,Mithwal,Basti Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
YbOAqVBdm86,,indicator_5,eA37kyBRRuZ,Budaun,Dataganj,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
dOCMMkuHb5N,,indicator_5,NNk3JP90QZ5,Sonbhadra,Bhabni,Mirzapur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
SkcYjFliQxI,,indicator_5,tXgaew1Pd2Y,Prayagraj,Holagarh,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
PZAj1qhZHhE,,indicator_5,XBLhrSWGytu,Mainpuri,Mainpuri Kurawali,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
FXgVpTS1KKY,,indicator_5,HJIS3IrQ0Nj,Bagpat,Pilana,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
i9BEhkE3w1b,,indicator_5,y8WarEkWCul,Gonda,Quazeedevar,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
VmevjLb8Eme,,indicator_5,fz7bJo3egPX,Pratapgarh,Belkharnath,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
pgmL8MQQwKP,,indicator_5,y8WarEkWCul,Gonda,Mujhana,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
eLIy5rJdmIo,,indicator_5,Pm0jLk6EAiE,Etawah,Etawah Chkernagar,Kanpur Nagar Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
kqqVceYxMn2,,indicator_5,ClbehnmwSec,Chandauli,Chandauli DHQ,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
