block,block_id,calc_type,date,district,district_id,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
Badoukher Khurd,EFUeXhmIy8J,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,409.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,591.0,2023
Badoukher Khurd,EFUeXhmIy8J,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,409.0,4,36a,ixBYYYjxXPP,776.0,2023
Kemasin,FhvPjqLG12y,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,411.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,333.0,2023
Kemasin,FhvPjqLG12y,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,411.0,4,36a,ixBYYYjxXPP,300.0,2023
Nereani,PPxFR8laHqe,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,414.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,635.0,2023
Nereani,PPxFR8laHqe,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,414.0,4,36a,ixBYYYjxXPP,365.0,2023
Baberu,QAfsawYvIW0,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,410.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,363.0,2023
Baberu,QAfsawYvIW0,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,410.0,4,36a,ixBYYYjxXPP,363.0,2023
Banda DHQ ,QIufPcB6Kr6,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,129.0,2023
Tindwari,UVNiCb7ffry,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,408.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,256.0,2023
Tindwari,UVNiCb7ffry,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,408.0,4,36a,ixBYYYjxXPP,0.0,2023
Bisanda,emjMgvubuGe,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,412.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,277.0,2023
Bisanda,emjMgvubuGe,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,412.0,4,36a,ixBYYYjxXPP,257.0,2023
Jaspura,iD2sVe31G90,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,407.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,176.0,2023
Jaspura,iD2sVe31G90,p,2023-01-01,Banda,DggJGxqbWHn,indicator_36,407.0,4,36a,ixBYYYjxXPP,0.0,2023
