calc_type,date,district,district_id,div_map_id,division,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
p,2023-01-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,indicator_36,135,4,36a,ixBYYYjxXPP,969.0,2023
p,2023-01-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,indicator_36,135,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4080.0,2023
p,2023-01-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,indicator_35,135,4,35a,dwGorjVGkD9,34.1,2023
p,2023-01-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,indicator_37,135,4,37a,m7ggqyMXhyL,86.8,2023
p,2023-01-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,indicator_36,140,4,36a,ixBYYYjxXPP,1320.0,2023
p,2023-01-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,indicator_36,140,4,36b,aRueVYr35yM.Ti9FJqkSK6J,6645.0,2023
p,2023-01-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,indicator_35,140,4,35a,dwGorjVGkD9,37.3,2023
p,2023-01-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,indicator_37,140,4,37a,m7ggqyMXhyL,86.9,2023
p,2023-01-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,indicator_36,197,4,36a,ixBYYYjxXPP,476.0,2023
p,2023-01-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,indicator_36,197,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2972.0,2023
p,2023-01-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,indicator_35,197,4,35a,dwGorjVGkD9,26.9,2023
p,2023-01-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,indicator_37,197,4,37a,m7ggqyMXhyL,88.8,2023
p,2023-01-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,indicator_36,201,4,36a,ixBYYYjxXPP,756.0,2023
p,2023-01-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,indicator_36,201,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1961.0,2023
p,2023-01-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,indicator_35,201,4,35a,dwGorjVGkD9,32.4,2023
p,2023-01-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,indicator_37,201,4,37a,m7ggqyMXhyL,87.8,2023
p,2023-01-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,indicator_36,144,4,36a,ixBYYYjxXPP,1400.0,2023
p,2023-01-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,indicator_36,144,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2788.0,2023
p,2023-01-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,indicator_35,144,4,35a,dwGorjVGkD9,35.1,2023
p,2023-01-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,indicator_37,144,4,37a,m7ggqyMXhyL,81.7,2023
p,2023-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,indicator_36,191,4,36a,ixBYYYjxXPP,2206.0,2023
p,2023-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,indicator_36,191,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3007.0,2023
p,2023-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,indicator_35,191,4,35a,dwGorjVGkD9,30.1,2023
p,2023-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,indicator_37,191,4,37a,m7ggqyMXhyL,82.3,2023
p,2023-01-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,indicator_36,150,4,36a,ixBYYYjxXPP,2241.0,2023
p,2023-01-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,indicator_36,150,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3590.0,2023
p,2023-01-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,indicator_35,150,4,35a,dwGorjVGkD9,30.1,2023
p,2023-01-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,indicator_37,150,4,37a,m7ggqyMXhyL,83.8,2023
p,2023-01-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,indicator_36,168,4,36a,ixBYYYjxXPP,606.0,2023
p,2023-01-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,indicator_36,168,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1490.0,2023
